code,ticker,codesource,name,market,category,cur,country,continent,date,short_name,coverage,benchmark,performance,month_history,updated,industry,sector
STKVNAPC,APC,APC,AN PHU IRRADIATION,HSX,SMALL,VND,VIETNAM,ASIA,2024-08-01,AN PHU IRRADIATION,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,CHEMICALS,BASIC MATERIALS
STKVNBLF,BLF,BLF,BAC LIEU FISHERIES,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,BAC LIEU FISHERIES,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,FOOD & BEVERAGE,CONSUMER GOODS
STKVNCTX,CTX,CTX,CONSTREXIM HOLDINGS,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,CONSTREXIM HOLDINGS,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNDNM,DNM,DNM,DANAMECO MEDICAL,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,DANAMECO MEDICAL,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,HEALTH CARE,HEALTH CARE
STKVNDPC,DPC,DPC,DA NANG PLASTIC,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,DA NANG PLASTIC,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
STKVNDZM,DZM,DZM,DZIMA,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,DZIMA,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
STKVNKLF,KLF,KLF,KLF GLOBAL,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,KLF GLOBAL,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,RETAIL,CONSUMER SERVICES
STKVNL61,L61,L61,LILAMA 61,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,LILAMA 61,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNLUT,LUT,LUT,LUONG TAI CONSTRUCTIONS,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,LUONG TAI CONSTRUCTIONS,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,,
STKVNMIM,MIM,MIM,MINERAL AND MECHANICAL,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,MINERAL AND MECHANICAL,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,BASIC RESOURCES,BASIC MATERIALS
STKVNPOM,POM,POM,POMINA STEEL,HSX,LARGE,VND,VIETNAM,ASIA,2024-08-01,POMINA STEEL,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,BASIC RESOURCES,BASIC MATERIALS
STKVNQBS,QBS,QBS,QUANG BINH IMPORT AND EXPORT,HSX,MID,VND,VIETNAM,ASIA,2024-08-01,QUANG BINH IMPORT AND EXPORT,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,CHEMICALS,BASIC MATERIALS
STKVNSCD,SCD,SCD,CHUONG DUONG BEVERAGES,HSX,SMALL,VND,VIETNAM,ASIA,2024-08-01,CHUONG DUONG BEVERAGES,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,FOOD & BEVERAGE,CONSUMER GOODS
STKVNSDT,SDT,SDT,SONG DA 10 JSC,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,SONG DA 10 JSC,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNTKC,TKC,TKC,TANKY REAL ESTATE,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,TANKY REAL ESTATE,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNTTZ,TTZ,TTZ,TIEN TRUNG CONSTRUCTION,HNX,SMALL,VND,VIETNAM,ASIA,2024-08-01,TIEN TRUNG CONSTRUCTION,VIETNAM,VNI,2024-08-02,2024-08-02,2024-08-02 17:14:36,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
INDMAR,R,MAR,MERVAL ARGENTINA,"",SMALL,USD,ARGENTINA,AMERICA,2024-08-20,MERVAL ARGENTINA,INTERNATIONAL,SP500,,,2024-08-21 16:47:54,LODGING,CONSUMER CYCLICAL
STKVNCAV,CAV,,VIETNAM ELECTRIC CABLE,HSX,MID,VND,VIETNAM,ASIA,2024-07-17,VIETNAM ELECTRIC CABLE,VIETNAM,VNI,,,2024-08-27 15:44:42,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
STKVNTC6,TC6,,VINACOMIN - COC SAU COAL,HNX,SMALL,VND,VIETNAM,ASIA,2024-06-24,VINACOMIN - COC SAU COAL,VIETNAM,VNI,,,2024-08-27 15:45:47,BASIC RESOURCES,BASIC MATERIALS
STKVNTDN,TDN,,VINACOMIN - DEO NAI COAL,HNX,SMALL,VND,VIETNAM,ASIA,2024-06-24,VINACOMIN - DEO NAI COAL,VIETNAM,VNI,,,2024-08-27 15:45:47,BASIC RESOURCES,BASIC MATERIALS
FNDETFPSI,FPSI,PSI,,"",LARGE,,,,2024-09-27,,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,,
FNDETFTHD,FTHD,THD,,"",LARGE,,,,2024-09-27,,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,,
FNDETFVTV,FVTV,VTV,,"",SMALL,,,,2024-09-27,,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,,
STKUSACM,ACM,ACM,AECOM,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,AECOM,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,ENGINEERING & CONSTRUCTION,INDUSTRIALS
STKUSAMC,AMC,AMC,AMC ENTERTAINMENT HOLDINGS A,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,AMC ENTERTAINMENT HOLDINGS A,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,ENTERTAINMENT,COMMUNICATION SERVICES
STKUSCIA,CIA,CIA,CITIZENS A,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,CITIZENS A,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,INSURANCE - LIFE,FINANCIAL SERVICES
STKUSCLH,CLH,CLH,CLEAN HARBORS,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,CLEAN HARBORS,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,WASTE MANAGEMENT,INDUSTRIALS
STKUSHCC,HCC,HCC,WARRIOR MET COAL,"",LARGE,,UNITED STATES,AMERICA,2024-09-27,WARRIOR MET COAL,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,,
STKUSHVT,HVT,HVT,HAVERTY FURNITURE COMPANIES,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,HAVERTY FURNITURE COMPANIES,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,HOME IMPROVEMENT RETAIL,CONSUMER CYCLICAL
STKUSINN,INN,INN,SUMMIT HOTEL PROPERTIES REIT,"",LARGE,,UNITED STATES,AMERICA,2024-09-27,SUMMIT HOTEL PROPERTIES REIT,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,,
STKUSPCH,PCH,PCH,POTLATCHDELTIC,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,POTLATCHDELTIC,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,REIT - SPECIALTY,REAL ESTATE
STKUSSGH,SGH,SGH,SMART GLOBAL HOLDINGS,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,SMART GLOBAL HOLDINGS,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,SEMICONDUCTORS,TECHNOLOGY
STKUSSLS,SLS,SLS,SELLAS LIFE SCIENCES GROUP,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,SELLAS LIFE SCIENCES GROUP,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,BIOTECHNOLOGY,HEALTH CARE
STKUSSTC,STC,STC,STEWART INFO SERVICES,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,STEWART INFO SERVICES,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,INSURANCE - PROPERTY & CASUALTY,FINANCIAL SERVICES
STKUSVNT,VNT,VNT,VONTIER,"",SMALL,USD,UNITED STATES,AMERICA,2024-09-27,VONTIER,INTERNATIONAL,SP500,,,2024-09-30 19:31:15,SCIENTIFIC & TECHNICAL INSTRUMENTS,TECHNOLOGY
FNDETFBAB,FBAB,BAB,,"",LARGE,,,,2024-09-27,,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,,
FNDETFDTD,FDTD,DTD,,"",LARGE,,,,2024-09-27,,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,,
FNDETFPSC,FPSC,PSC,,"",LARGE,,,,2024-09-27,,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,,
FNDETFSDG,FSDG,SDG,,"",LARGE,,,,2024-09-27,,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,,
STKUSADC,ADC,ADC,AGREE REALTY REIT,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,AGREE REALTY REIT,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,REIT - RETAIL,REAL ESTATE
STKUSAPP,APP,APP,APPLOVIN A,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,APPLOVIN A,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,SOFTWARE - APPLICATION,TECHNOLOGY
STKUSBCC,BCC,BCC,BOISE CASCADE,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,BOISE CASCADE,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,BUILDING MATERIALS,BASIC MATERIALS
STKUSBVS,BVS,BVS,BIOVENTUS A,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,BIOVENTUS A,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,MEDICAL DEVICES,HEALTH CARE
STKUSCMC,CMC,CMC,COMMERCIAL METALS,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,COMMERCIAL METALS,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,STEEL,BASIC MATERIALS
STKUSDHT,DHT,DHT,DHT HOLDINGS,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,DHT HOLDINGS,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,OIL & GAS MIDSTREAM,ENERGY
STKUSEBS,EBS,EBS,EMERGENT BIOSOLUTIONS,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,EMERGENT BIOSOLUTIONS,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,DRUG MANUFACTURERS - SPECIALTY & GENERIC,HEALTH CARE
STKUSGIC,GIC,GIC,GLOBAL INDUSTRIAL,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,GLOBAL INDUSTRIAL,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,INDUSTRIAL DISTRIBUTION,INDUSTRIALS
STKUSGLT,GLT,GLT,GLATFELTER,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,GLATFELTER,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,PAPER & PAPER PRODUCTS,BASIC MATERIALS
STKUSMAC,MAC,MAC,MACERICH REIT,"",LARGE,PESO,UNITED STATES,AMERICA,2024-09-27,MACERICH REIT,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,TRANSPORTATION,SERVICES
STKUSNRC,NRC,NRC,NATIONAL RESEARCH,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,NATIONAL RESEARCH,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,HEALTH INFORMATION SERVICES,HEALTH CARE
STKUSPEN,PEN,PEN,PENUMBRA,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,PENUMBRA,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,MEDICAL DEVICES,HEALTH CARE
STKUSSCI,SCI,SCI,SERVICE CORPORATION INTERNATIONAL,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,SERVICE CORPORATION INTERNATIONAL,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,PERSONAL SERVICES,CONSUMER CYCLICAL
STKUSSGC,SGC,SGC,SUPERIOR GROUP OF COMPANIES,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,SUPERIOR GROUP OF COMPANIES,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,APPAREL MANUFACTURING,CONSUMER CYCLICAL
STKUSTHS,THS,THS,TREEHOUSE FOODS,"",MID,USD,UNITED STATES,AMERICA,2024-09-27,TREEHOUSE FOODS,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,PACKAGED FOODS,CONSUMER DEFENSIVE
STKUSTPH,TPH,TPH,TRI POINTE HOMES,"",MID,USD,UNITED STATES,AMERICA,2024-09-27,TRI POINTE HOMES,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,RESIDENTIAL CONSTRUCTION,CONSUMER CYCLICAL
STKUSTTC,TTC,TTC,TORO,"",MID,USD,UNITED STATES,AMERICA,2024-09-27,TORO,INTERNATIONAL,SP500,,,2024-09-30 21:46:19,TOOLS & ACCESSORIES,INDUSTRIALS
FNDETFVIG,FVIG,VIG,,"",LARGE,,,,2024-09-27,,INTERNATIONAL,SP500,,,2024-09-30 23:33:05,,
STKUSALT,ALT,ALT,ALTIMMUNE,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,ALTIMMUNE,INTERNATIONAL,SP500,,,2024-09-30 23:33:05,BIOTECHNOLOGY,HEALTH CARE
STKUSKMT,KMT,KMT,KENNAMETAL,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,KENNAMETAL,INTERNATIONAL,SP500,,,2024-09-30 23:33:05,TOOLS & ACCESSORIES,INDUSTRIALS
STKUSMED,MED,MED,MEDIFAST,"",LARGE,PESO,UNITED STATES,AMERICA,2024-09-27,MEDIFAST,INTERNATIONAL,SP500,,,2024-09-30 23:33:05,OTHER,FINANCIALS
STKUSPCT,PCT,PCT,PURECYCLE TECHNOLOGIES,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,PURECYCLE TECHNOLOGIES,INTERNATIONAL,SP500,,,2024-09-30 23:33:05,POLLUTION & TREATMENT CONTROLS,INDUSTRIALS
STKUSSPI,SPI,SPI,SPI ENERGY COMPANY,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-27,SPI ENERGY COMPANY,INTERNATIONAL,SP500,,,2024-09-30 23:33:05,SOLAR,TECHNOLOGY
STKUSNET,NET,NET,CLOUDFLARE A,"",LARGE,USD,UNITED STATES,AMERICA,2024-09-30,CLOUDFLARE A,INTERNATIONAL,SP500,,,2024-10-01 04:56:08,SOFTWARE - INFRASTRUCTURE,TECHNOLOGY
STKVNAAA,AAA,,AN PHAT PLASTIC,HSX,MID,VND,VIETNAM,ASIA,2024-10-01,AN PHAT PLASTIC,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CHEMICALS,BASIC MATERIALS
STKVNAAM,AAM,,MEKONG FISHERIES,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,MEKONG FISHERIES,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FOOD & BEVERAGE,CONSUMER GOODS
STKVNAAT,AAT,,TIEN SON THANH HOA,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,TIEN SON THANH HOA,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,RETAIL,CONSUMER SERVICES
STKVNAAV,AAV,,VIET TIEN SON REAL ESTATE,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,VIET TIEN SON REAL ESTATE,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,REAL ESTATE,FINANCIALS
STKVNABR,ABR,,VIET BRAND INVEST,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,VIET BRAND INVEST,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,RETAIL,CONSUMER SERVICES
STKVNABS,ABS,,BINHTHUAN AGRICULTURE SERVICES,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,BINHTHUAN AGRICULTURE SERVICES,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CHEMICALS,BASIC MATERIALS
STKVNABT,ABT,,BEN TRE AQUAPRODUCT,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,BEN TRE AQUAPRODUCT,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FOOD & BEVERAGE,CONSUMER GOODS
STKVNACB,ACB,,ASIA COMMERCIAL BANK,HSX,LARGE,VND,VIETNAM,ASIA,2024-10-01,ASIA COMMERCIAL BANK,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BANKS,FINANCIALS
STKVNACC,ACC,,BECAMEX ASPHALT AND CONCRETE,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,BECAMEX ASPHALT AND CONCRETE,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
